Date,value,Model_fit,Test_Predictions,mae_base_test,mape_base_test,mae_train_base,mape_train_base
2019-2,54.95473684210527,54.47637687379475,,,,,
2019-3,58.151428571428575,55.49027438458551,,,,,
2019-4,63.862380952380946,57.298495394981686,,,,,
2019-5,60.82681818181818,65.6586854788431,,,,,
2019-6,54.657500000000006,59.850087418856695,,,,,
2019-7,57.35809523809524,52.15269428440507,,,,,
2019-8,54.80590909090909,59.484067092243976,,,,,
2019-9,56.947,54.673267724465354,,,,,
2019-10,53.96304347826087,56.41697048068335,,,,,
2019-11,57.048947368421054,53.401794576890495,,,,,
2019-12,59.81666666666667,58.39058314562508,,,,,
2020-1,57.519047619047626,60.5084714445275,,,,,
2020-2,50.5478947368421,55.91619082001685,,,,,
2020-3,30.483363636363638,48.657992120557296,,,,,
2020-4,19.6697,25.960429295674885,,,,,
2020-5,28.5058,18.72205705174563,,,,,
2020-6,38.33172727272727,33.67609104018298,,,,,
2020-7,40.772,40.0175864490484,,,,,
2020-8,42.40942857142857,38.287112565978575,,,,,
2020-9,39.64628571428572,42.9721081103128,,,,,
2020-10,39.576454545454546,40.00349269441641,,,,,
2020-11,41.3681,39.05083431076141,,,,,
2020-12,47.085272727272724,41.9007422449541,,,,,
2021-1,52.106842105263155,48.90458055126093,,,,,
2021-2,59.07094736842105,52.754740074340646,,,,,
2021-3,62.35956521739131,60.02010266870087,,,,,
2021-4,61.71561904761905,62.78886336451949,,,,,
2021-5,65.15259999999999,60.92624320179348,,,,,
2021-6,71.32163636363636,66.21881503196315,,,,,
2021-7,72.53763636363637,73.25589148937571,,,,,
2021-8,67.69281818181818,71.73706804959707,,,,,
2021-9,71.43072727272728,65.53937237127526,,,,,
2021-10,81.17133333333334,73.667250127073,,,,,
2021-11,78.60542857142858,84.46954315372018,,,,,
2021-12,71.86858333333333,75.62170091689956,,,,,
2022-1,82.873,69.14723796777936,,,,,
2022-2,91.5232,88.61374035910602,,,,,
2022-3,108.07991304347827,93.65991298506893,,,,,
2022-4,101.84057142857144,109.26647219470281,,,,,
2022-5,109.00590476190476,98.77926131070062,,,,,
2022-6,114.02954999999999,111.48750788747402,,,,,
2022-7,100.83892592592592,116.41287460874904,,,,,
2022-8,91.57826086956523,94.81021127251873,,,,,
2022-9,84.04590909090909,89.50094424666047,,,,,
2022-10,87.05333333333334,85.6499448585599,,,,,
2022-11,84.085,88.2889973353469,,,,,
2022-12,76.84863636363637,81.94228721707574,,,,,
2023-1,78.31363636363636,74.77246159411,74.75318580996493,,,,
2023-2,76.845,80.51996502463415,81.30408873418685,,,,
2023-3,78.49249999999999,76.74111159981649,76.71355635033689,,,,
