Date, Value
2012-04-11,102.6600
2012-04-12,103.6900
2012-04-13,102.8400
2012-04-16,102.9200
2012-04-17,104.2300
2012-04-18,102.6500
2012-04-19,102.3800
2012-04-20,103.5800
2012-04-23,102.6800
2012-04-24,103.1000
2012-04-25,103.7200
2012-04-26,104.5600
2012-04-27,104.8600
2012-04-30,104.8900
2012-05-01,106.1700
2012-05-02,105.2500
2012-05-03,102.5600
2012-05-04,98.4900
2012-05-07,97.8600
2012-05-08,97.1300
2012-05-09,96.8000
2012-05-10,97.1000
2012-05-11,96.0300
2012-05-14,94.7500
2012-05-15,93.9700
2012-05-16,92.7800
2012-05-17,92.5300
2012-05-18,91.5100
2012-05-21,92.5700
2012-05-22,91.4400
2012-05-23,89.4000
2012-05-24,90.3600
2012-05-25,90.6400
2012-05-29,90.7500
2012-05-30,87.7900
2012-05-31,86.5200
2012-06-01,83.1700
2012-06-04,83.9500
2012-06-05,84.3100
2012-06-06,85.0500
2012-06-07,84.7800
2012-06-08,84.0800
2012-06-11,82.5800
2012-06-12,83.3500
2012-06-13,82.5600
2012-06-14,83.8300
2012-06-15,84.0300
2012-06-18,83.2600
2012-06-19,83.9900
2012-06-20,81.0600
2012-06-21,77.9100
2012-06-22,79.3300
2012-06-25,78.7600
2012-06-26,79.3400
2012-06-27,80.2700
2012-06-28,77.7200
2012-06-29,85.0400
2012-07-02,83.7200
2012-07-03,87.7400
2012-07-05,87.1100
2012-07-06,84.3700
2012-07-09,85.9300
2012-07-10,83.9200
2012-07-11,85.8800
2012-07-12,86.0200
2012-07-13,87.1500
2012-07-16,88.4100
2012-07-17,89.0700
2012-07-18,89.8800
2012-07-19,92.7800
2012-07-20,91.5600
2012-07-23,87.7700
2012-07-24,88.2800
2012-07-25,88.8000
2012-07-26,89.4000
2012-07-27,90.1300
2012-07-30,89.8000
2012-07-31,88.0800
2012-08-01,88.9900
2012-08-02,87.2200
2012-08-03,91.4000
2012-08-06,92.3000
2012-08-07,93.6800
2012-08-08,93.3900
2012-08-09,93.3900
2012-08-10,92.9400
2012-08-13,92.7600
2012-08-14,93.4000
2012-08-15,94.3500
2012-08-16,95.6600
2012-08-17,96.0000
2012-08-20,96.0300
2012-08-21,96.5500
2012-08-22,96.8900
2012-08-23,95.8700
2012-08-24,95.7800
2012-08-27,95.5400
2012-08-28,96.3000
2012-08-29,95.5000
2012-08-30,94.6100
2012-08-31,96.4700
2012-09-04,95.3400
2012-09-05,95.3700
2012-09-06,95.5800
2012-09-07,96.4100
2012-09-10,96.5200
2012-09-11,97.0300
2012-09-12,97.0200
2012-09-13,98.3000
2012-09-14,98.9400
2012-09-17,96.5100
2012-09-18,95.2500
2012-09-19,91.9700
2012-09-20,92.1400
2012-09-21,92.6400
2012-09-24,91.6800
2012-09-25,91.0700
2012-09-26,89.9200
2012-09-27,91.8900
2012-09-28,92.1800
2012-10-01,92.4400
2012-10-02,91.8800
2012-10-03,88.1900
2012-10-04,91.6900
2012-10-05,89.8700
2012-10-08,89.4300
2012-10-09,92.4200
2012-10-10,91.2400
2012-10-11,92.1900
2012-10-12,91.8300
2012-10-15,91.8400
2012-10-16,92.0700
2012-10-17,92.0400
2012-10-18,92.0000
2012-10-19,90.0000
2012-10-22,88.3000
2012-10-23,86.6500
2012-10-24,85.3900
2012-10-25,85.5900
2012-10-26,85.8400
2012-10-29,85.5200
2012-10-30,85.6500
2012-10-31,86.2300
2012-11-01,87.0500
2012-11-02,84.9000
2012-11-05,85.6400
2012-11-06,88.6200
2012-11-07,84.5000
2012-11-08,85.0700
2012-11-09,86.0800
2012-11-12,85.5600
2012-11-13,85.3800
2012-11-14,86.3200
2012-11-15,85.4500
2012-11-16,86.6200
2012-11-19,89.0500
2012-11-20,86.4600
2012-11-21,87.0800
2012-11-23,87.0100
2012-11-26,87.2800
2012-11-27,86.8100
2012-11-28,86.1000
2012-11-29,87.6400
2012-11-30,88.5400
2012-12-03,88.6900
2012-12-04,88.0400
2012-12-05,87.3600
2012-12-06,85.4700
2012-12-07,85.4500
2012-12-10,85.1400
2012-12-11,85.3600
2012-12-12,86.3500
2012-12-13,85.3900
2012-12-14,86.3200
2012-12-17,86.7100
2012-12-18,87.4600
